municipio;data;temperatura_max;temperatura_min;temperatura_media;precipitacao
Recife;2024-10-17;29.3;24.1;26.7;0.0
Recife;2024-10-18;28.9;24.5;26.5;0.4
Recife;2024-10-19;28.9;24.7;26.6;1.4
Recife;2024-10-20;29.2;23.9;26.7;0.8
Recife;2024-10-21;29.9;24.3;26.5;1.6
Recife;2024-10-22;29.1;24.0;26.2;0.6
Recife;2024-10-23;28.0;23.4;25.6;1.4
Recife;2024-10-24;28.4;24.6;26.2;1.2
Recife;2024-10-25;29.2;24.1;26.5;0.3
Recife;2024-10-26;29.3;24.5;26.5;2.0
Recife;2024-10-27;29.7;24.8;27.0;1.7
Recife;2024-10-28;29.2;24.4;26.4;1.9
Recife;2024-10-29;28.7;23.7;26.1;1.0
Recife;2024-10-30;28.6;23.9;26.1;1.3
Recife;2024-10-31;28.9;24.9;26.7;1.1
Recife;2024-11-01;29.4;24.3;26.6;0.7
Recife;2024-11-02;28.7;24.6;26.4;0.7
Recife;2024-11-03;29.1;24.3;26.4;0.1
Recife;2024-11-04;28.7;24.6;26.7;0.1
Recife;2024-11-05;29.2;23.3;26.3;5.1
Recife;2024-11-06;28.2;24.4;26.2;3.1
Recife;2024-11-07;28.2;24.6;26.1;1.6
Recife;2024-11-08;28.7;24.0;26.3;3.9
Recife;2024-11-09;28.3;23.7;26.0;3.7
Recife;2024-11-10;29.2;23.9;26.2;1.4
Recife;2024-11-11;28.5;24.3;26.2;1.1
Recife;2024-11-12;29.0;24.1;26.4;2.3
Recife;2024-11-13;29.4;24.8;26.8;1.0
Recife;2024-11-14;29.3;24.7;26.5;2.5
Recife;2024-11-15;29.6;24.1;26.7;1.3
Recife;2024-11-16;28.9;23.8;26.4;1.6
Recife;2024-11-17;29.3;23.5;26.4;4.2
Recife;2024-11-18;28.9;24.1;26.3;3.1
Recife;2024-11-19;29.3;24.5;26.7;1.0
Recife;2024-11-20;29.8;24.9;26.8;1.3
Recife;2024-11-21;29.1;24.5;26.8;1.0
Recife;2024-11-22;30.2;24.4;27.1;0.6
Recife;2024-11-23;30.8;24.9;27.4;0.2
Recife;2024-11-24;30.7;24.8;27.7;0.4
Recife;2024-11-25;30.1;26.1;27.8;0.9
Recife;2024-11-26;29.8;25.3;27.3;0.7
Recife;2024-11-27;30.1;25.1;27.2;0.6
Recife;2024-11-28;29.9;25.1;27.0;2.0
Recife;2024-11-29;30.3;25.3;27.2;0.6
Recife;2024-11-30;30.4;25.3;27.5;0.0
Recife;2024-12-01;30.2;23.6;27.1;2.8
Recife;2024-12-02;28.2;24.2;25.9;3.2
Recife;2024-12-03;28.9;23.6;26.3;3.2
Recife;2024-12-04;29.2;23.1;26.2;2.8
Recife;2024-12-05;29.4;24.3;26.6;2.4
Recife;2024-12-06;28.4;23.6;26.2;4.5
Recife;2024-12-07;28.2;24.0;26.2;3.2
Recife;2024-12-08;29.0;23.8;26.4;2.0
Recife;2024-12-09;29.4;24.9;27.0;0.4
Recife;2024-12-10;30.1;25.2;27.2;1.5
Recife;2024-12-11;30.0;25.5;27.5;1.9
Recife;2024-12-12;30.2;25.2;27.4;3.1
Recife;2024-12-13;30.4;25.2;27.3;1.4
Recife;2024-12-14;29.2;25.3;;
Recife;2024-12-15;;;;
Recife;2024-12-16;;;;
Caruaru;2024-10-17;29.0;20.3;23.3;1.8
Caruaru;2024-10-18;27.5;19.8;23.0;1.8
Caruaru;2024-10-19;29.0;19.8;23.4;0.5
Caruaru;2024-10-20;29.9;19.4;23.4;0.5
Caruaru;2024-10-21;28.8;19.5;23.4;0.3
Caruaru;2024-10-22;28.4;19.5;23.0;0.3
Caruaru;2024-10-23;27.8;19.0;22.8;0.0
Caruaru;2024-10-24;27.7;19.3;22.7;1.2
Caruaru;2024-10-25;30.1;18.9;23.3;0.5
Caruaru;2024-10-26;30.4;17.6;23.4;0.0
Caruaru;2024-10-27;29.4;20.1;24.1;3.0
Caruaru;2024-10-28;29.0;19.7;23.7;0.6
Caruaru;2024-10-29;29.4;19.1;23.2;0.3
Caruaru;2024-10-30;31.2;18.1;23.2;0.0
Caruaru;2024-10-31;30.4;19.4;24.0;0.0
Caruaru;2024-11-01;29.9;19.7;23.8;0.2
Caruaru;2024-11-02;29.3;20.3;23.8;0.2
Caruaru;2024-11-03;28.4;18.4;22.7;0.3
Caruaru;2024-11-04;29.2;17.9;22.8;0.0
Caruaru;2024-11-05;29.0;18.4;22.9;0.4
Caruaru;2024-11-06;28.4;18.3;22.8;1.9
Caruaru;2024-11-07;28.7;19.5;23.3;0.0
Caruaru;2024-11-08;28.8;19.5;23.6;1.8
Caruaru;2024-11-09;30.4;20.1;24.0;0.5
Caruaru;2024-11-10;31.2;19.4;24.1;0.1
Caruaru;2024-11-11;31.5;19.2;24.3;0.2
Caruaru;2024-11-12;30.2;20.5;24.3;0.7
Caruaru;2024-11-13;30.4;20.2;24.3;0.5
Caruaru;2024-11-14;29.7;19.2;23.8;0.0
Caruaru;2024-11-15;28.7;18.5;23.4;0.0
Caruaru;2024-11-16;29.8;19.6;23.7;0.0
Caruaru;2024-11-17;28.8;19.8;23.5;3.7
Caruaru;2024-11-18;29.2;19.9;23.6;1.8
Caruaru;2024-11-19;31.0;19.8;24.0;0.0
Caruaru;2024-11-20;31.5;20.6;24.7;0.0
Caruaru;2024-11-21;32.3;20.7;24.9;0.3
Caruaru;2024-11-22;32.1;20.5;25.4;0.3
Caruaru;2024-11-23;33.3;20.8;25.9;0.3
Caruaru;2024-11-24;32.9;20.8;25.7;0.7
Caruaru;2024-11-25;30.9;21.4;25.1;1.5
Caruaru;2024-11-26;31.5;20.2;24.8;0.0
Caruaru;2024-11-27;31.3;19.2;24.1;0.0
Caruaru;2024-11-28;30.7;19.6;24.5;0.0
Caruaru;2024-11-29;30.7;20.3;24.4;0.0
Caruaru;2024-11-30;30.9;19.6;24.3;0.1
Caruaru;2024-12-01;32.1;19.0;24.8;0.0
Caruaru;2024-12-02;30.8;21.4;24.0;9.7
Caruaru;2024-12-03;28.5;21.0;23.6;3.8
Caruaru;2024-12-04;28.1;20.9;23.5;2.7
Caruaru;2024-12-05;29.6;20.1;23.8;0.2
Caruaru;2024-12-06;29.5;20.1;23.6;0.5
Caruaru;2024-12-07;28.4;19.9;23.4;1.8
Caruaru;2024-12-08;28.7;19.4;23.7;2.4
Caruaru;2024-12-09;29.6;19.8;23.9;0.0
Caruaru;2024-12-10;30.0;18.9;23.6;0.0
